
// EXTRASUNNY_LA

//Amb Amb_Obj Dir Sky top Sky bot SunCore SunCorona SunSz SprSz SprBght Shdw LightShd PoleShd FarClp FogSt LightOnGround LowCloudsRGB BottomCloudRGB WaterRGBA Alpha1 RGB1 Alpha2 RGB2 CloudAlpha IntensityLimit WaterFogAlpha DirMult 
// 0h
35 35 35 170 170 170 255 255 255 15 18 20 30 36 40 0 0 0 0 0 0 1.0 1.4 0.8 200 150 255 400.0 20.0 0.8 25 20 15 30 25 18 65 65 65 255 70 70 70 70 70 70 70 70 0 255 0 0.75 
// 1h
36 36 36 168 168 168 255 255 255 15 18 20 30 36 40 51 38 27 51 38 27 1.0 1.28 0.8 200 150 255 400.0 18.0 0.8 25 20 15 30 25 18 69 69 69 255 70 70 70 70 70 70 70 70 0 255 0 0.75 
// 2h
37 37 37 166 166 166 255 255 255 15 18 20 30 36 40 102 77 55 102 77 55 1.0 1.16 0.8 200 150 255 400.0 16.0 0.8 25 20 15 30 25 18 73 73 73 255 70 70 70 70 70 70 70 70 0 255 0 0.75 
// 3h
38 38 38 164 164 164 255 255 255 15 18 20 30 36 40 153 116 83 153 116 83 1.0 1.04 0.8 200 150 255 400.0 14.0 0.8 25 20 15 30 25 18 78 78 78 255 70 70 70 70 70 70 70 70 0 255 0 0.75 
// 4h
39 39 39 162 162 162 255 255 255 15 18 20 30 36 40 204 155 111 204 155 111 1.0 0.92 0.8 200 150 255 400.0 12.0 0.8 25 20 15 30 25 18 82 82 82 255 70 70 70 70 70 70 70 70 0 255 0 0.75 
// 5h
40 40 40 160 160 160 255 255 255 15 18 20 30 36 40 255 194 139 255 194 139 1.0 0.8 0.8 200 150 255 400.0 10.0 0.8 25 20 15 30 25 18 87 87 87 255 70 70 70 70 70 70 70 70 0 255 0 0.75 
// 6h
22 22 22 210 194 182 255 255 255 58 77 101 255 204 153 255 128 0 255 128 0 8.4 1.0 0.3 140 93 0 800.0 100.0 0.8 100 34 25 120 92 88 90 170 170 240 255 86 86 86 255 149 94 0 25 120 0 1.0 
// 7h
5 0 0 210 194 182 255 255 255 89 126 207 255 204 153 255 255 255 255 255 255 2.2 1.0 0.3 100 50 75 800.0 100.0 0.5 120 40 40 159 142 106 145 170 170 240 255 133 106 70 255 96 61 15 25 180 0 1.0 
// 8h
6 0 0 210 194 182 255 255 255 89 126 197 244 205 165 255 255 255 255 255 255 1.98 1.0 0.24 127 40 98 800.0 82.0 0.4 104 38 36 156 146 121 134 170 170 240 255 119 98 65 255 110 74 24 25 180 0 1.0 
// 9h
7 0 0 210 194 182 255 255 255 89 126 187 233 206 177 255 255 255 255 255 255 1.76 1.0 0.18 154 30 121 800.0 64.0 0.3 89 37 33 153 150 136 123 170 170 240 255 106 90 61 255 124 88 33 25 180 0 1.0 
// 10h
